id,dosen_id,mk_id,kelas,hari,jam_mulai,jam_selesai,ruangan,tanggal,pertemuan_ke
j4,u_cqtpibpd9,mk14,GS38,Kamis,08:00:00,09:59:00,GA,2026-06-11,1
j_mtgpm9lgm,u_cqtpibpd9,mk14,AV08-FA10,Jumat,08:00:00,09:59:00,GA,2026-06-12,1
j_dwjnwj8uz,u12,mk22,GS39,Selasa,10:00:00,12:00:00,QG,2026-06-09,1
j_lz27xn082,u12,mk22,GS39,Jumat,08:00:00,09:59:00,QG,2026-06-12,2
j_s6nzoqj8q,u12,mk22,GS39,Rabu,08:00:00,09:59:00,QG,2026-06-17,3
j_8a1mz3iuv,u12,mk22,GS39,Kamis,10:00:00,12:00:00,QG,2026-06-18,4
j_4cqseuisp,u12,mk22,GS38,Selasa,08:00:00,09:59:00,QG,2026-06-09,1
j_gq2gd0c9z,u12,mk22,GS38,Rabu,10:00:00,12:00:00,GA,2026-06-10,2
j_s2qzdfov5,u12,mk22,GS38,Kamis,08:00:00,09:59:00,QG,2026-06-18,3
j_snuav6p4n,u12,mk22,GS38,Jumat,10:00:00,11:45:00,QG,2026-06-19,4
j_o79cm4l72,u12,mk22,AV08-FA10,Rabu,08:00:00,09:59:00,GA,2026-06-10,1
j_gee2383fl,u12,mk22,AV08-FA10,Kamis,08:00:00,09:59:00,QG,2026-06-11,2
j_pbgkui5l8,u12,mk22,AV08-FA10,Rabu,10:00:00,12:00:00,GA,2026-06-17,3
j_bni2yg6am,u12,mk22,AV08-FA10,Jumat,08:00:00,09:59:00,QG,2026-06-19,4
j_hsk57i98o,u_cqtpibpd9,mk14,GS39,Jumat,08:00:00,09:59:00,GA,2026-06-19,2
j_gmcdf0vtb,u11,mk15,AV08-FA10,Selasa,10:00:00,12:00:00,GA,2026-06-09,1
j_t342259zb,u_cqtpibpd9,mk14,GS38,Rabu,08:00:00,09:59:00,GA,2026-06-17,2
j_zgkxuae4g,u_cqtpibpd9,mk14,AV08-FA10,Kamis,08:00:00,09:59:00,GA,2026-06-18,2
j_4uteriy1d,u11,mk15,AV08-FA10,Senin,13:00:00,15:00:00,GA,2026-06-15,2
j_cxdca4i30,u11,mk15,GS39,Rabu,10:00:00,12:00:00,QG,2026-06-10,1
j_g8op66pbm,u_fvnmq3fqe,mk_6xlldv6ur,GS39,Selasa,15:00:00,15:30:00,GA,2026-06-09,1
j3,u_cqtpibpd9,mk14,GS39,Rabu,08:00:00,09:59:00,QG,2026-06-10,1
j_cx6mcyqc6,u11,mk15,GS39,Kamis,10:00:00,09:59:00,GA,2026-06-11,2
j_h8xyun5v1,u11,mk15,GS39,Rabu,10:00:00,12:00:00,QG,2026-06-17,3
j_ftsfjxkdj,u11,mk15,GS38,Rabu,13:00:00,15:00:00,QG,2026-06-10,1
j_y1bwzue9p,u11,mk15,GS38,Jumat,13:30:00,15:30:00,GA,2026-06-12,2
j_f1f0pnn6p,u11,mk15,GS38,Senin,10:00:00,12:00:00,GA,2026-06-15,3
j_4zoakz19b,u10,mk15,GS38,Rabu,13:00:00,15:00:00,GA,2026-06-17,1
j_gxfdxrsk8,u10,mk15,AV08-FA10,Kamis,10:00:00,12:00:00,GA,2026-06-18,1
j_sqcnysxvd,u10,mk15,GS39,Jumat,10:00:00,12:00:00,GA,2026-06-19,1
j_8ibxa7sup,u_fvnmq3fqe,mk_6xlldv6ur,GS39,Kamis,13:00:00,15:00:00,GA,2026-06-18,2
j_94egeybsy,u_fvnmq3fqe,mk_6xlldv6ur,GS38,Kamis,13:00:00,15:00:00,QG,2026-06-11,1
j_gwa3mdtk0,u_fvnmq3fqe,mk_6xlldv6ur,GS38,Jumat,13:30:00,15:30:00,GA,2026-06-19,2
j_rwteerk2x,u_fvnmq3fqe,mk_6xlldv6ur,AV08-FA10,Rabu,13:00:00,15:00:00,GA,2026-06-10,1
j_vt8d94ouy,u_fvnmq3fqe,mk_6xlldv6ur,AV08-FA10,Rabu,13:00:00,15:00:00,QG,2026-06-17,2
